0.370495 0.601829
0.372995 0.640748
0.353635 0.675743
0.360223 0.710982
0.364645 0.750564
0.350056 0.807203
0.373631 0.837288
0.351115 0.887691
0.4664 0.540432
0.428849 0.62079
0.42754 0.653248
0.405856 0.720407
0.400732 0.756935
0.426823 0.821495
0.440725 0.849322
0.437594 0.956193
0.465552 0.571181
0.504829 0.615723
0.500703 0.646498
0.526095 0.707234
0.52111 0.770391
0.523246 0.820229
0.505793 0.876112
0.52551 0.906339
0.618546 0.528836
0.559612 0.623456
0.553963 0.654873
0.554841 0.713311
0.551063 0.762466
0.562808 0.821118
0.542791 0.849754
0.59652 0.930131
0.603873 0.590889
0.639533 0.605808
0.634271 0.672925
0.654237 0.702407
0.659244 0.777413
0.627544 0.792998
0.637426 0.886644
0.599576 0.890356
